Ticker,Name,Exchange,Weight (%),Price,Market Value,Sector,SEDOL,CAAPs Linked to A-Shares,A-Shares Held
"601318","PING AN INSURANCE (GROUP) OF CHINA","XSHG","12.97","84.30","4,002,312,335","Financials","B1SVWB6","4,990,442.00","42,485,256.00"
"600036","CHINA MERCHANTS BANK LTD A","XSHG","6.61","33.63","2,038,979,700","Financials","6518723","6,361,601.00","54,265,815.00"
"600519","KWEICHOW MOUTAI LTD A","XSHG","5.46","739.70","1,686,000,251","Consumer Staples","6414832","234,000.00","2,045,302.00"
"601166","INDUSTRIAL BANK LTD A","XSHG","4.72","20.35","1,457,325,426","Financials","B1P13B6","6,851,816.00","64,749,570.00"
"600016","CHINA MINSHENG BANKING CORP LTD A","XSHG","4.00","10.40","1,233,370,308","Financials","6310747","13,088,255.00","105,496,971.00"
"000002","CHINA VANKE LTD A","XSHE","3.83","35.16","1,182,837,162","Real Estate","6803708","-","33,637,445.00"
"000333","MIDEA GROUP LTD A","XSHE","3.55","59.47","1,096,839,458","Consumer Discretionary","BDVHRJ8","1,302,592.00","17,141,606.00"
"600000","SHANGHAI PUDONG DEVELOPMENT BANK L","XSHG","3.50","15.25","1,080,504,106","Financials","6182043","7,817,402.00","63,047,890.00"
"600030","CITIC SECURITIES LTD A","XSHG","2.84","21.83","875,354,708","Financials","6579355","4,392,475.00","35,711,123.00"
"601288","AGRICULTURAL BANK OF CHINA LTD A","XSHG","2.59","4.41","800,383,504","Financials","B620Y41","19,918,628.00","161,562,811.00"
"601328","BANK OF COMMUNICATIONS LTD A","XSHG","2.51","7.50","775,438,797","Financials","B1W9Z06","9,798,742.00","93,595,436.00"
"601398","INDUSTRIAL AND COMMERCIAL BANK OF","XSHG","2.49","6.93","769,535,723","Financials","B1G2JY3","12,169,322.00","98,813,852.00"
"000725","BOE TECHNOLOGY GROUP LTD A","XSHE","2.33","6.69","720,468,685","Information Technology","6314697","-","107,755,074.00"
"000858","WULIANGYE YIBIN LTD A","XSHE","2.31","80.07","713,712,057","Consumer Staples","6109901","973,450.00","7,940,269.00"
"601668","CHINA STATE CONSTRUCTION ENGINEERI","XSHG","2.26","11.25","697,015,247","Industrials","B3Y6LV2","6,795,758.00","55,162,554.00"
"601601","CHINA PACIFIC INSURANCE (GROUP) LT","XSHG","2.13","50.61","656,228,154","Financials","B29WFR2","1,193,070.00","11,772,775.00"
"002415","HANGZHOU HIKVISION DIGITAL TECHNOL","XSHE","2.09","45.05","645,846,165","Information Technology","B450X03","1,374,463.00","12,962,970.00"
"601169","BANK OF BEIJING LTD A","XSHG","1.85","8.70","570,215,333","Financials","B249NZ2","6,030,844.00","59,491,314.00"
"000001","PING AN BANK LTD A","XSHE","1.83","15.44","563,960,987","Financials","6802006","3,196,843.00","33,338,660.00"
"600837","HAITONG SECURITIES LTD CLASS A","XSHG","1.65","16.78","510,667,229","Financials","6766555","2,679,378.00","27,753,201.00"
"601766","CRRC CORP CORP LTD A","XSHG","1.65","13.37","508,722,412","Industrials","B3CPT84","3,819,417.00","34,223,473.00"
"601988","BANK OF CHINA LTD A","XSHG","1.60","4.62","492,270,336","Financials","B180B49","9,897,633.00","96,595,911.00"
"600276","JIANGSU HENGRUI MEDICINE LTD A","XSHG","1.57","77.16","483,749,694","Health Care","6288457","-","6,269,739.00"
"600048","POLY REAL ESTATE GROUP LTD A","XSHG","1.48","15.02","457,049,174","Real Estate","B19RB38","3,414,823.00","27,007,977.00"
"600104","SAIC MOTOR CORP LTD A","XSHG","1.44","36.84","443,320,011","Consumer Discretionary","6086974","1,280,814.00","10,753,241.00"
"601211","GUOTAI JUNAN SECURITIES LTD A","XSHG","1.29","23.58","399,392,571","Financials","BZ0HMX2","1,787,031.00","15,147,597.00"
"600900","CHINA YANGTZE POWER LTD A","XSHG","1.29","19.48","397,910,067","Utilities","6711630","-","20,425,870.00"
"601939","CHINA CONSTRUCTION BANK CORP A","XSHG","1.23","8.24","378,179,294","Financials","B24G126","5,146,448.00","40,733,853.00"
"601818","CHINA EVERBRIGHT BANK LTD A","XSHG","1.16","4.92","357,387,136","Financials","B53SCQ5","8,070,011.00","64,608,923.00"
"600028","CHINA PETROLEUM & CHEMICAL CORP A","XSHG","1.12","7.11","344,129,333","Energy","6373728","5,440,056.00","42,956,007.00"
"600050","CHINA UNITED NETWORK COMMUNICATION","XSHG","1.09","8.23","336,530,887","Telecommunication Services","6547998","-","40,886,053.00"
"601989","CHINA SHIPBUILDING INDUSTRY LTD A","XSHG","1.04","7.29","319,759,493","Industrials","B4X9DB3","5,692,006.00","38,185,370.00"
"601688","HUATAI SECURITIES LTD A","XSHG","0.99","22.89","306,281,793","Financials","B61VK25","1,426,050.00","11,955,343.00"
"002304","JIANGSU YANGHE BREWERY JOINT-STOCK","XSHE","0.95","127.51","294,666,965","Consumer Staples","B55JM22","219,622.00","2,091,330.00"
"600019","BAOSHAN IRON & STEEL LTD A","XSHG","0.90","9.91","276,659,656","Materials","6307954","-","27,930,083.00"
"601628","CHINA LIFE INSURANCE LTD A","XSHG","0.89","37.50","274,202,687","Financials","B1LBS82","822,666.00","6,489,571.00"
"000776","GF SECURITIES LTD A","XSHE","0.87","20.61","269,458,167","Financials","6107176","1,243,077.00","11,829,331.00"
"601390","CHINA RAILWAY GROUP LTD A","XSHG","0.87","10.28","269,348,351","Industrials","B292YZ3","2,839,569.00","23,354,534.00"
"601186","CHINA RAILWAY CONSTRUCTION CORP LT","XSHG","0.87","13.97","267,165,234","Industrials","B2PPPG4","1,581,328.00","17,537,764.00"
"601088","CHINA SHENHUA ENERGY LTD A","XSHG","0.86","25.79","266,147,208","Energy","B281JM3","1,174,282.00","9,145,697.00"
"001979","CHINA MERCHANTS SHEKOU INDUSTRIAL","XSHE","0.77","22.16","236,677,496","Real Estate","BYY36X7","1,179,204.00","9,502,385.00"
"601336","NEW CHINA LIFE INSURANCE LTD A","XSHG","0.69","75.68","212,730,998","Financials","B75FVJ4","175,007.00","2,635,837.00"
"601857","PETROCHINA LTD A","XSHG","0.65","9.50","201,621,182","Energy","B28SLD9","2,213,651.00","18,999,578.00"
"002594","BYD LTD A","XSHE","0.64","70.46","198,149,204","Consumer Discretionary","B466322","310,977.00","2,501,313.00"
"601985","CHINA NATIONAL NUCLEAR POWER LTD A","XSHG","0.58","8.84","178,149,987","Utilities","BYL7784","2,174,923.00","17,968,357.00"
"600018","SHANGHAI INTERNATIONAL PORT (GROUP","XSHG","0.45","8.71","138,284,986","Industrials","B1G9126","1,778,841.00","14,089,673.00"
"601800","CHINA COMMUNICATIONS CONSTRUCTION","XSHG","0.39","16.65","120,454,630","Industrials","B6Y7DS7","783,542.00","6,450,724.00"
"601998","CHINA CITIC BANK CORP LTD A","XSHG","0.34","7.49","104,904,205","Financials","B1VXHG9","1,494,983.00","12,514,588.00"
"601238","GUANGZHOU AUTOMOBILE GROUP LTD A","XSHG","0.26","28.88","81,689,658","Consumer Discretionary","B7TC005","189,045.00","2,639,636.00"
"601229","BANK OF SHANGHAI LTD A","XSHG","0.24","17.46","72,560,058","Financials","BD5BP36","-","4,154,782.00"
